"publisher_id","book_title","year","book_id","title","author","fk_publisher_id"
1,"Человек без лица",1953,1,"USA","Альфред Бестер",1
2,"Машина вечности",1955,2,"USA","Марк Клифтон и Фрэнк Райли",2
3,"Двойник",1956,3,"USA","Роберт Хайнлайн",3
4,"Считаетет его мертвым",1956,4,"England","Эрик Фрэнк Рассел",4
5,"Конец вечности",1956,5,"USA","Айзек Азимов",5
6,"Не в этом августе",1956,6,"USA","Сирил Корнблат",6
7,"Долгое завтра",1956,7,"USA","Ли Брэкетт",7
8,"Большое время",1958,8,"USA","Фриц Лейбер",8
9,"Дело совести",1959,9,"USA","Джеймс Блиш",9
10,"Враждебные звезды",1959,10,"USA","Пол Андерсон",10
11,"Кто?",1959,11,"USA","Альгис Будрис",11
12,"Имею скафандр - готов путешествовать",1959,12,"USA","Роберт Хайнлайн",12
13,"Корпорация ""Бессмертие""",1959,13,"USA","Роберт Шекли",13
